"Bidder #","Certificates Bid For","Certificates Awarded","Lien Value of Awards","High Bid Premium of Awards","Total Due for Awards"
13,2,1,387.70,0.00,387.70
24,18,12,36791.95,1614.00,38405.95
26,99,15,100605.17,69985.00,170590.17
28,7,1,3023.24,12320.00,15343.24
38,101,10,12206.03,0.00,12206.03
41,4,1,867.81,0.00,867.81
43,42,27,9467.86,0.00,9467.86
50,10,4,3379.13,0.00,3379.13
51,3,2,2967.91,3440.00,6407.91
53,1,1,334.93,63.00,397.93
71,6,2,2918.01,0.00,2918.01
73,66,23,89952.38,26748.00,116700.38
88,91,5,5819.78,420.00,6239.78
91,957,716,1107704.92,8365769.00,9473473.92
96,69,8,3006.15,0.00,3006.15
103,1480,158,319192.05,22733.00,341925.05
104,3039,1432,3453152.82,7936524.00,11389676.82
107,76,17,15396.63,0.00,15396.63
109,48,9,24768.32,0.00,24768.32
118,33,3,145915.57,0.00,145915.57
121,2,2,830.13,0.00,830.13
123,3,2,25419.49,6216.00,31635.49
125,2294,38,30369.51,52221.00,82590.51
126,953,219,360111.34,2317.00,362428.34
128,4,1,1511.11,3920.00,5431.11
131,1,1,1470.01,0.00,1470.01
132,414,80,116024.78,1251.00,117275.78
133,490,95,146745.32,2252.00,148997.32
134,813,193,278235.08,14905.00,293140.08
137,4902,958,2910605.80,1404837.00,4315442.80
140,464,100,961013.55,901525.00,1862538.55
143,3,1,423.50,0.00,423.50
148,1,1,839.04,2968.00,3807.04
152,740,174,1667040.07,1113396.00,2780436.07
153,21,4,38486.87,61552.00,100038.87
158,6,1,6184.24,0.00,6184.24
160,222,33,25712.34,3.00,25715.34
162,5,3,3343.49,10656.00,13999.49
163,425,16,58719.44,4.00,58723.44
167,401,76,92652.89,780.00,93432.89
170,3414,156,490088.58,49433.00,539521.58
171,3,1,366.38,66.00,432.38
172,284,26,175813.70,1328.00,177141.70
175,230,135,308764.38,1896264.00,2205028.38
177,6,1,3484.09,1346.00,4830.09
178,2109,253,726314.14,3571.00,729885.14
180,756,153,301391.84,198567.00,499958.84
182,7,2,20363.52,3548.00,23911.52
184,32,3,20881.95,0.00,20881.95
189,18,3,1074.78,0.00,1074.78
190,1442,106,203933.87,4811.00,208744.87
193,1,1,837.19,3728.00,4565.19
196,822,137,635414.85,831231.00,1466645.85
200,2,1,1040.49,0.00,1040.49
205,3,1,868.71,0.00,868.71
208,3,1,2243.47,0.00,2243.47
210,1,1,3148.58,1616.00,4764.58
215,1,1,25018.32,0.00,25018.32
216,67,8,37566.04,55.00,37621.04
222,12,4,4476.28,10168.00,14644.28
223,6,1,11594.54,0.00,11594.54
225,4,3,9416.06,0.00,9416.06
231,937,113,654416.97,1278750.00,1933166.97
237,1000,10,31678.71,5.00,31683.71
241,45,12,26199.98,5423.00,31622.98
243,15,5,44422.12,0.00,44422.12
245,45,11,77567.54,156265.00,233832.54
248,3,2,1726.45,12.00,1738.45
256,68,7,16732.35,35236.00,51968.35
258,18,8,74906.98,516.00,75422.98
260,1,1,969.62,0.00,969.62
263,7,3,6769.21,1864.00,8633.21
265,659,42,131542.20,60.00,131602.20
267,17,2,4529.86,2952.00,7481.86
268,19,2,8060.81,8619.00,16679.81
270,2,2,2900.48,7608.00,10508.48
273,37,7,22430.14,7132.00,29562.14
275,1527,46,423585.82,12084.00,435669.82
277,65,4,47798.33,4840.00,52638.33
278,295,30,93184.93,2053.00,95237.93
284,21,2,11493.35,13393.00,24886.35
293,140,52,689243.73,28797.00,718040.73
295,74,3,9658.35,0.00,9658.35
296,34,1,5011.78,0.00,5011.78
298,4755,881,2464230.34,2087401.00,4551631.34
303,20,1,2732.08,0.00,2732.08
